STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,geometry
06,037,571704,06037571704,5717.04,Census Tract 5717.04,G5020,S,481587,0,+33.8499458,-118.1870723,"POLYGON ((-118.171994 33.777152, -118.171994 33.777225, -118.171992 33.778062999999996, -118.17199099999999 33.778971999999996, -118.171986 33.779738, -118.171979 33.780786, -118.171984 33.782579999999996, -118.171992 33.782606, -118.170909 33.782612, -118.169835 33.78261, -118.16981200000001 33.78261, -118.168737 33.782602, -118.167632 33.782607, -118.16764 33.782586, -118.167639 33.778973, -118.167639 33.778548, -118.16764 33.778064, -118.167642 33.777193, -118.167642 33.777159999999995, -118.167645 33.775631, -118.16764599999999 33.775346, -118.168736 33.775341, -118.169826 33.775342, -118.170908 33.775343, -118.171997 33.775338999999995, -118.17199600000001 33.776136, -118.171994 33.777152))"
06,037,571600,06037571600,5716,Census Tract 5716,G5020,S,288944,0,+33.8498715,-118.1813827,"POLYGON ((-118.161111 33.780809, -118.161115 33.782598, -118.161092 33.782598, -118.160041 33.782596999999996, -118.15892 33.782601, -118.15886499999999 33.782595, -118.15782899999999 33.7826, -118.156748 33.782592, -118.155651 33.78259, -118.15457599999999 33.782589, -118.154203 33.782588, -118.153485 33.782587, -118.152404 33.782586, -118.152406 33.781513, -118.152408 33.780785, -118.152412 33.778964, -118.153493 33.778966, -118.154584 33.778968, -118.155665 33.778963, -118.156756 33.778965, -118.157837 33.778959, -118.158928 33.778968, -118.160048 33.778969, -118.16113899999999 33.778971, -118.161119 33.780778, -118.161111 33.780809))"
06,037,570703,06037570703,5707.03,Census Tract 5707.03,G5020,S,929734,0,+33.8505828,-118.1612953,"POLYGON ((-118.122237 33.786702, -118.121421 33.786377, -118.121272 33.786726, -118.121002 33.78874, -118.120108 33.788739, -118.119239 33.788737, -118.11904200000001 33.788737, -118.116198 33.788731999999996, -118.115298 33.78873, -118.11439 33.788728, -118.11349 33.788720999999995, -118.112581 33.788719, -118.111704 33.788717, -118.110836 33.788716, -118.109967 33.788714, -118.109098 33.788706, -118.107969 33.788703999999996, -118.10797099999999 33.787879, -118.107981 33.786718, -118.108001 33.78536, -118.10800499999999 33.78383, -118.107999 33.782979, -118.108003 33.781528, -118.111534 33.781548, -118.111558 33.781545, -118.111659 33.781548, -118.11168 33.781548, -118.111703 33.781542, -118.111755 33.781529, -118.111803 33.78151, -118.111839 33.781484, -118.111864 33.781436, -118.111876 33.781389, -118.111872 33.781313, -118.111831 33.781233, -118.11179 33.781171, -118.111745 33.781081, -118.111723 33.781042, -118.111695 33.780994, -118.111625 33.780836, -118.111548 33.780688, -118.111508 33.780502, -118.111481 33.780248, -118.111476 33.779599, -118.111481 33.779306, -118.11147700000001 33.779105, -118.111484 33.777322999999996, -118.111481 33.776672, -118.111491 33.776319, -118.111481 33.776058, -118.111484 33.775786, -118.11148 33.775593, -118.111494 33.775511, -118.111544 33.775354, -118.111576 33.775295, -118.111629 33.775213, -118.111718 33.775065999999995, -118.11174 33.775026, -118.111801 33.775045999999996, -118.111986 33.775104, -118.112207 33.775164, -118.112462 33.775219, -118.112754 33.775267, -118.113049 33.775297, -118.113314 33.775310999999995, -118.115271 33.775316, -118.118942 33.775318999999996, -118.121256 33.775318999999996, -118.121301 33.775539, -118.121371 33.77581, -118.121458 33.776078, -118.122022 33.77765, -118.122126 33.77794, -118.122148 33.778014999999996, -118.122196 33.77818, -118.122242 33.778369, -118.122307 33.778721, -118.122333 33.778892, -118.12234699999999 33.779047999999996, -118.122351 33.779311, -118.122351 33.77945, -118.12235 33.7797, -118.12235 33.779951, -118.122348 33.780519999999996, -118.12234699999999 33.78109, -118.122346 33.781316, -118.122346 33.781411, -118.122345 33.781777999999996, -118.122345 33.781997, -118.122343 33.78282, -118.122332 33.783874, -118.122341 33.784124, -118.122373 33.784456999999996, -118.122393 33.784580999999996, -118.122417 33.784732999999996, -118.12256 33.785312, -118.122676 33.785663, -118.122801 33.785976999999995, -118.122941 33.786286, -118.123068 33.786528, -118.12316799999999 33.786708, -118.12333 33.786972999999996, -118.123407 33.787089, -118.12343 33.787116, -118.123454 33.787151, -118.122237 33.786702))"
06,037,570800,06037570800,5708,Census Tract 5708,G5020,S,2393579,705,+33.8533032,-118.1353409,"POLYGON ((-118.13405 33.784698, -118.134046 33.786679, -118.134036 33.788363, -118.134036 33.788381, -118.134036 33.7884, -118.13403199999999 33.789798, -118.133613 33.789795999999996, -118.133315 33.789777, -118.13305199999999 33.789744, -118.132723 33.789697, -118.132432 33.789637, -118.132177 33.789570999999995, -118.131955 33.789499, -118.131675 33.789398, -118.131371 33.789273, -118.130638 33.788922, -118.13005799999999 33.788644, -118.129727 33.788506, -118.12963500000001 33.788471, -118.129533 33.788437, -118.129354 33.788377, -118.129065 33.788298999999995, -118.128803 33.788243, -118.128704 33.788226, -118.128445 33.788188999999996, -118.128084 33.788156, -118.127788 33.788145, -118.127591 33.788145, -118.127355 33.788153, -118.127054 33.788176, -118.126595 33.788235, -118.125709 33.788353, -118.125031 33.788444, -118.124391 33.788522, -118.12423 33.788284, -118.124068 33.788047, -118.123454 33.787151, -118.12343 33.787116, -118.123407 33.787089, -118.12333 33.786972999999996, -118.12316799999999 33.786708, -118.123068 33.786528, -118.122941 33.786286, -118.122801 33.785976999999995, -118.122676 33.785663, -118.12256 33.785312, -118.122417 33.784732999999996, -118.122393 33.784580999999996, -118.122373 33.784456999999996, -118.122341 33.784124, -118.122332 33.783874, -118.122343 33.78282, -118.122345 33.781997, -118.122345 33.781777999999996, -118.122346 33.781411, -118.122346 33.781316, -118.12234699999999 33.78109, -118.122348 33.780519999999996, -118.12235 33.779951, -118.12235 33.7797, -118.122351 33.77945, -118.122351 33.779311, -118.12234699999999 33.779047999999996, -118.122333 33.778892, -118.122307 33.778721, -118.122242 33.778369, -118.122196 33.77818, -118.122148 33.778014999999996, -118.122126 33.77794, -118.122022 33.77765, -118.121458 33.776078, -118.121371 33.77581, -118.121301 33.775539, -118.121256 33.775318999999996, -118.121357 33.775318999999996, -118.121651 33.775318999999996, -118.122477 33.775321, -118.122559 33.775321999999996, -118.12270000000001 33.775321999999996, -118.123063 33.77558, -118.124144 33.776379999999996, -118.125239 33.77718, -118.12552 33.777387, -118.12571299999999 33.777529, -118.12631999999999 33.777979, -118.127407 33.778793, -118.127613 33.778945, -118.128495 33.779593, -118.129374 33.780238, -118.13025400000001 33.780882, -118.132544 33.782572, -118.132555 33.782587, -118.132673 33.782672999999996, -118.134053 33.783789999999996, -118.134051 33.784456, -118.13405 33.784698))"
06,037,570902,06037570902,5709.02,Census Tract 5709.02,G5020,S,1055804,0,+33.8532314,-118.1210795,"POLYGON ((-118.167225 33.786221999999995, -118.166211 33.786226, -118.165839 33.786225, -118.16474099999999 33.786227, -118.16331199999999 33.786229, -118.162214 33.786227, -118.16119499999999 33.786226, -118.1611 33.786226, -118.15991199999999 33.786224, -118.159692 33.786224, -118.15967 33.786224, -118.159455 33.786224, -118.158928 33.786223, -118.15674899999999 33.786226, -118.156741 33.786206, -118.156743 33.785368, -118.156745 33.784435, -118.156748 33.782592, -118.15782899999999 33.7826, -118.15886499999999 33.782595, -118.15892 33.782601, -118.160041 33.782596999999996, -118.161092 33.782598, -118.161115 33.782598, -118.162221 33.782593, -118.163304 33.782601, -118.164385 33.782603, -118.165468 33.782598, -118.166557 33.782592, -118.167075 33.782599, -118.167632 33.782607, -118.167636 33.784407, -118.167645 33.78568, -118.167649 33.786221, -118.167225 33.786221999999995))"
06,037,570701,06037570701,5707.01,Census Tract 5707.01,G5020,S,1776912,1953,+33.8538919,-118.1483367,"POLYGON ((-118.180063 33.782604, -118.17966799999999 33.782603, -118.179013 33.782603, -118.177924 33.782601, -118.176328 33.782612, -118.17633000000001 33.781174, -118.176331 33.780785, -118.176343 33.778965, -118.17633599999999 33.778062, -118.17633599999999 33.777923, -118.176338 33.777224, -118.176339 33.77671, -118.176333 33.775369, -118.17634100000001 33.775338, -118.177904 33.77534, -118.17796799999999 33.77534, -118.180163 33.775343, -118.180677 33.775343, -118.180676 33.775870999999995, -118.180674 33.776543, -118.180677 33.777077999999996, -118.18068 33.777763, -118.180679 33.778290999999996, -118.180678 33.778964, -118.18067500000001 33.780764, -118.18067500000001 33.78083, -118.180682 33.781655, -118.18068 33.782598, -118.180063 33.782604))"
06,037,570602,06037570602,5706.02,Census Tract 5706.02,G5020,S,1042596,0,+33.8561560,-118.1729328,"POLYGON ((-118.181662 33.770503999999995, -118.18157 33.770807, -118.181499 33.771043999999996, -118.181292 33.771716999999995, -118.181125 33.772251, -118.180915 33.772923, -118.180902 33.772962, -118.180891 33.773002, -118.18082 33.77323, -118.180748 33.773457, -118.18073 33.773517, -118.18070399999999 33.773598, -118.180679 33.77368, -118.18068 33.773748999999995, -118.180679 33.774136, -118.180678 33.774671, -118.180677 33.775343, -118.180163 33.775343, -118.17796799999999 33.77534, -118.177904 33.77534, -118.17634100000001 33.775338, -118.176335 33.774877, -118.176327 33.774124, -118.176329 33.77299, -118.17634 33.77171, -118.176333 33.771063999999996, -118.176382 33.770807, -118.176406 33.770675, -118.176509 33.770140999999995, -118.176609 33.769600000000004, -118.17670799999999 33.769065999999995, -118.178501 33.769306, -118.180284 33.769532999999996, -118.181896 33.769739, -118.181867 33.769832, -118.181662 33.770503999999995))"
06,037,570601,06037570601,5706.01,Census Tract 5706.01,G5020,S,780449,0,+33.8569402,-118.1809849,"POLYGON ((-118.176509 33.770140999999995, -118.176406 33.770675, -118.176382 33.770807, -118.176333 33.771063999999996, -118.17634 33.77171, -118.176329 33.77299, -118.176327 33.774124, -118.176335 33.774877, -118.17634100000001 33.775338, -118.17629099999999 33.775344, -118.175979 33.775343, -118.175719 33.775343, -118.175495 33.775343, -118.174951 33.775342, -118.17488399999999 33.775342, -118.174706 33.775342, -118.173616 33.775341, -118.171997 33.775338999999995, -118.171989 33.775317, -118.171989 33.77511, -118.17199099999999 33.774435, -118.171989 33.773531, -118.171988 33.772721, -118.171988 33.772344, -118.171988 33.771710999999996, -118.171989 33.771195, -118.17199 33.770814, -118.17199 33.770326, -118.171992 33.769548, -118.171132 33.769435, -118.171239 33.768901, -118.171348 33.76836, -118.17313899999999 33.768592999999996, -118.174915 33.768826, -118.17670799999999 33.769065999999995, -118.176609 33.769600000000004, -118.176509 33.770140999999995))"
06,037,570603,06037570603,5706.03,Census Tract 5706.03,G5020,S,734616,0,+33.8571713,-118.1623205,"POLYGON ((-118.160049 33.775335, -118.158927 33.775334, -118.157838 33.775335999999996, -118.156747 33.775337, -118.156482 33.775335999999996, -118.155666 33.775335999999996, -118.154694 33.775338999999995, -118.154583 33.77534, -118.154583 33.775009, -118.154585 33.774423999999996, -118.15458699999999 33.77352, -118.154589 33.77261, -118.154583 33.7717, -118.15458699999999 33.769886, -118.15458699999999 33.769478, -118.154589 33.768488, -118.15459 33.768073, -118.155696 33.768074, -118.15590399999999 33.768074, -118.156762 33.768076, -118.157844 33.768077, -118.15851599999999 33.768077, -118.158646 33.768077999999996, -118.158925 33.768079, -118.159301 33.768079, -118.15953400000001 33.76808, -118.159557 33.76808, -118.16005200000001 33.76808, -118.160268 33.76808, -118.160584 33.768080999999995, -118.16058699999999 33.770739, -118.160585 33.771699, -118.161129 33.771696, -118.161127 33.772600000000004, -118.161126 33.773516, -118.161138 33.775337, -118.160049 33.775335))"
06,037,570304,06037570304,5703.04,Census Tract 5703.04,G5020,S,545967,25570,+33.8563177,-118.1926968,"MULTILINESTRING ((-118.124962 33.834106, -118.124938 33.836092), (-118.124938 33.836092, -118.12492499999999 33.837232), (-118.12492499999999 33.837232, -118.124921 33.83789), (-118.124921 33.83789, -118.124911 33.839555), (-118.10775699999999 33.83238, -118.108375 33.832381999999996), (-118.108375 33.832381999999996, -118.108716 33.832384), (-118.108716 33.832384, -118.108858 33.832384), (-118.108858 33.832384, -118.109704 33.832387), (-118.109704 33.832387, -118.114366 33.832402), (-118.114366 33.832402, -118.114847 33.832398999999995), (-118.114847 33.832398999999995, -118.11590100000001 33.832406999999996), (-118.11590100000001 33.832406999999996, -118.116532 33.832409), (-118.116532 33.832409, -118.118315 33.832414), (-118.118315 33.832414, -118.120784 33.832423), (-118.120784 33.832423, -118.120972 33.832423999999996), (-118.120972 33.832423999999996, -118.124225 33.832434), (-118.124225 33.832434, -118.124983 33.832437), (-118.124983 33.832437, -118.124962 33.834106))"
